Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,27.847500,27.860001,26.837500,27.332500,24.498680,212818400
2015-01-05,27.072500,27.162500,26.352501,26.562500,23.808519,257142000
2015-01-06,26.635000,26.857500,26.157499,26.565001,23.810759,263188400
2015-01-07,26.799999,27.049999,26.674999,26.937500,24.144640,160423600
2015-01-08,27.307501,28.037500,27.174999,27.972500,25.072323,237458000
2015-01-09,28.167500,28.312500,27.552500,28.002501,25.099218,214798000
2015-01-12,28.150000,28.157499,27.200001,27.312500,24.480761,198603200
2015-01-13,27.857500,28.200001,27.227501,27.555000,24.698116,268367600
2015-01-14,27.260000,27.622499,27.125000,27.450001,24.604006,195826400
2015-01-15,27.500000,27.514999,26.665001,26.705000,23.936235,240056000
2015-01-16,26.757500,26.895000,26.299999,26.497499,23.750254,314053200
2015-01-20,26.959999,27.242500,26.625000,27.180000,24.361996,199599600
2015-01-21,27.237499,27.764999,27.067499,27.387501,24.547979,194303600
2015-01-22,27.565001,28.117500,27.430000,28.100000,25.186607,215185600
2015-01-23,28.075001,28.437500,27.882500,28.245001,25.316578,185859200
2015-01-26,28.434999,28.590000,28.200001,28.275000,25.343468,222460000
2015-01-27,28.105000,28.120001,27.257500,27.285000,24.456104,382274800
2015-01-28,29.407499,29.530001,28.827499,28.827499,25.838682,585908400
2015-01-29,29.080000,29.797501,28.889999,29.725000,26.643129,337745600
2015-01-30,29.600000,30.000000,29.212500,29.290001,26.253231,334982000
2015-02-02,29.512501,29.792500,29.020000,29.657499,26.582624,250956400
2015-02-03,29.625000,29.772499,29.402500,29.662500,26.587109,207662800
2015-02-04,29.625000,30.127501,29.577499,29.889999,26.791021,280598800
2015-02-05,30.004999,30.057501,29.812500,29.985001,26.982246,168984800
2015-02-06,30.004999,30.062500,29.612499,29.732500,26.755026,174826400
2015-02-09,29.637501,29.959999,29.607500,29.930000,26.932747,155559200
2015-02-10,30.042500,30.537500,30.040001,30.504999,27.450169,248034000
2015-02-11,30.692499,31.230000,30.625000,31.219999,28.093573,294247200
2015-02-12,31.514999,31.870001,31.392500,31.615000,28.449013,297898000
2015-02-13,31.820000,31.820000,31.412500,31.770000,28.588493,217088800
2015-02-17,31.872499,32.220001,31.730000,31.957500,28.757212,252609600
2015-02-18,31.907499,32.195000,31.862499,32.180000,28.957428,179566800
2015-02-19,32.119999,32.257500,32.082500,32.112499,28.896688,149449600
2015-02-20,32.154999,32.375000,32.012501,32.375000,29.132900,195793600
2015-02-23,32.505001,33.250000,32.415001,33.250000,29.920280,283896400
2015-02-24,33.235001,33.400002,32.792500,33.042500,29.733557,276912400
2015-02-25,32.889999,32.900002,32.037498,32.197498,28.973179,298846800
2015-02-26,32.197498,32.717499,31.652500,32.605000,29.339880,365150000
2015-02-27,32.500000,32.642502,32.060001,32.115002,28.898943,248059200
2015-03-02,32.312500,32.570000,32.075001,32.272499,29.040665,192386800
2015-03-03,32.240002,32.380001,32.022499,32.340000,29.101404,151265200
2015-03-04,32.275002,32.389999,32.080002,32.134998,28.916931,126665200
2015-03-05,32.145000,32.187500,31.440001,31.602501,28.437765,226068400
2015-03-06,32.099998,32.342499,31.565001,31.650000,28.480505,291368400
2015-03-09,31.990000,32.392502,31.264999,31.785000,28.601992,354114000
