"N","P","G","Iteration","Method","MAE","RMSE","MAPE"
1000,0.1,30,1,"HWI",0.0131091719908617,0.106802366531342,17.1779443469893
1000,0.1,30,1,"EWMA",0.0520514928596395,0.146727362542853,20.803116996483
1000,0.1,30,1,"LI",0.0867690399152371,0.179693695383979,25.1707481268564
1000,0.1,30,2,"HWI",0.0221176067611401,0.121087353206492,31.6475912536117
1000,0.1,30,2,"EWMA",0.034743281248049,0.187511032555524,51.5768355454082
1000,0.1,30,2,"LI",0.0316002487558279,0.186451240228015,49.825235786301
1000,0.1,30,3,"HWI",0.0133452393119997,0.109087683958694,21.8448108377874
1000,0.1,30,3,"EWMA",0.127609895525674,0.203757953942164,46.0157625364088
1000,0.1,30,3,"LI",0.156139171580456,0.230774587533231,52.1577369334308
1000,0.1,30,4,"HWI",0.00536522905715089,0.102248853219822,26.9311926642399
1000,0.1,30,4,"EWMA",0.0587926455669297,0.169730116482287,53.5654770631632
1000,0.1,30,4,"LI",0.0738643824715072,0.200937040874572,59.7709072496409
1000,0.1,30,5,"HWI",0.00040702594460036,0.108695655347358,30.7803075947787
1000,0.1,30,5,"EWMA",0.0309323101568041,0.222945448843189,73.4268802280532
1000,0.1,30,5,"LI",0.0526838482490226,0.210296122014535,72.7593680484176
1000,0.2,10,1,"HWI",0.00748373966146348,0.117004127773167,26.4581804346109
1000,0.2,10,1,"EWMA",0.00389001914376098,0.18573087759217,44.3662369937569
1000,0.2,10,1,"LI",0.00844827656641972,0.189307973005782,44.0121172051263
1000,0.2,10,2,"HWI",0.00135542419176531,0.094780907783318,17.4278048450941
1000,0.2,10,2,"EWMA",0.000482597004979244,0.168954685962973,31.6729619259342
1000,0.2,10,2,"LI",0.000213777632948595,0.174742167024245,32.4639914682523
1000,0.2,10,3,"HWI",0.0011515670203176,0.115490079524529,23.0991533722789
1000,0.2,10,3,"EWMA",0.0124046202566332,0.178216492319305,37.3801359873845
1000,0.2,10,3,"LI",0.0320116974950366,0.192297849859409,39.1547681833657
1000,0.2,10,4,"HWI",0.0148839236595166,0.118503352147836,21.8614535786058
1000,0.2,10,4,"EWMA",0.000765582899971214,0.191994357815026,36.9240236874807
1000,0.2,10,4,"LI",0.0175694355171406,0.208945716775542,38.1787687443832
1000,0.2,10,5,"HWI",0.0129863034022456,0.0936838127683092,15.6970018926979
1000,0.2,10,5,"EWMA",0.0182586896321153,0.155741961569333,26.5735770811425
1000,0.2,10,5,"LI",0.0166713528099918,0.167635571852503,28.6249029463175
1000,0.2,20,1,"HWI",0.00974164606824612,0.120174757522934,21.8292924418811
1000,0.2,20,1,"EWMA",0.048951601661572,0.206780543050321,35.5439114525781
1000,0.2,20,1,"LI",0.0666154500389534,0.226508900451523,38.305563240503
1000,0.2,20,2,"HWI",0.00259834143636422,0.119905044996003,28.4248711705482
1000,0.2,20,2,"EWMA",0.00851915610436734,0.219823573917142,52.9588040279488
1000,0.2,20,2,"LI",0.00309254339319832,0.227942208695229,53.1613768465394
1000,0.2,20,3,"HWI",0.00419688651107058,0.129917522326113,73.7361779569448
1000,0.2,20,3,"EWMA",0.00671625600089621,0.22063233366529,119.212195320342
1000,0.2,20,3,"LI",0.00224420978391542,0.229876284568959,120.641846764666
1000,0.2,20,4,"HWI",0.00853518428153322,0.114732121282382,37.2620716324883
1000,0.2,20,4,"EWMA",0.00196609013828732,0.224435497164279,69.4734780426037
1000,0.2,20,4,"LI",0.00892398963862424,0.226242997532233,66.7831018227319
1000,0.2,20,5,"HWI",0.0116842009117621,0.127276540869517,21.4140729350246
1000,0.2,20,5,"EWMA",0.00575513372808871,0.19514899067532,34.1190793488399
1000,0.2,20,5,"LI",0.0273851319746081,0.195456782307202,32.9613558831225
1000,0.2,30,1,"HWI",0.00973788042052385,0.107820328240338,27.6282221075013
1000,0.2,30,1,"EWMA",0.0139116050088389,0.174292266516323,48.3637824916046
1000,0.2,30,1,"LI",0.0012224001646267,0.184135177183163,49.8712624290602
1000,0.2,30,2,"HWI",0.0056225697408395,0.11117700813302,29.2685249362328
1000,0.2,30,2,"EWMA",0.0294699243450066,0.167406417655557,45.6118650593916
1000,0.2,30,2,"LI",0.0380934181849379,0.173524417512596,45.9070748412298
1000,0.2,30,3,"HWI",0.0165607394546924,0.112536314668681,18.058182023438
1000,0.2,30,3,"EWMA",0.00548704744645099,0.187377299374593,32.6766491037794
1000,0.2,30,3,"LI",0.0353757186160083,0.204325759702937,37.5948452647036
1000,0.2,30,4,"HWI",0.0229222962622604,0.12449106574787,24.8566540810466
1000,0.2,30,4,"EWMA",0.00120707108503854,0.197454244381385,39.5645734601554
1000,0.2,30,4,"LI",0.0156277817637315,0.208045083130534,40.0197174145016
