"N","P","G","Iteration","Method","MAE","RMSE","MAPE"
1000,0.05,10,2,"LI",0.118669660216249,0.235269929224419,39.8483676707798
1000,0.05,10,2,"KAF",0.515781761513716,0.540531463189381,97.0005370091764
1000,0.05,10,2,"RMEA",0.0288437805128333,0.164803787842861,31.5749796616369
1000,0.05,10,2,"NNI",0.107973292184877,0.216732160277637,36.9793465908342
1000,0.05,10,3,"NN",0.120787941319242,0.255607334096725,52.1051446414017
1000,0.05,10,3,"EWMA",0.0166255047823158,0.184504692711274,43.9463101613226
1000,0.05,10,3,"LI",0.0452591280888247,0.195792101605823,44.4691628710967
1000,0.05,10,3,"KAF",0.48189341349883,0.509449644970683,111.235574138492
1000,0.05,10,3,"RMEA",0.0186118016961387,0.151681624739894,38.3985856938675
1000,0.05,10,3,"NNI",0.016072004692428,0.173287946247906,41.7858749758453
1000,0.05,10,4,"NN",0.0329570146617935,0.290684673912134,58.8409566294019
1000,0.05,10,4,"EWMA",0.0578393643446435,0.231191669757,69.5742255387323
1000,0.05,10,4,"LI",0.0363592608272726,0.243942456160815,63.6403181585341
1000,0.05,10,4,"KAF",0.519521917581528,0.551919355875172,103.703557958563
1000,0.05,10,4,"RMEA",0.0339872609326691,0.188898310858897,59.9735320927174
1000,0.05,10,4,"NNI",0.0098635938700401,0.229766857359911,56.4148491851291
1000,0.05,10,5,"NN",0.0104345415972607,0.271716234059978,47.2720072604311
1000,0.05,10,5,"EWMA",0.0256788040874279,0.220196642051882,40.4384206384374
1000,0.05,10,5,"LI",0.0449897348672671,0.235954128854334,41.6776626543475
1000,0.05,10,5,"KAF",0.57287880771147,0.591070763473648,109.746628771131
1000,0.05,10,5,"RMEA",0.00304145117593817,0.145437101607164,27.4863597370626
1000,0.05,10,5,"NNI",0.0601544743677826,0.212631398004567,37.0496178311636
1000,0.05,10,6,"NN",0.076153608885936,0.239497916397382,51.3032263315819
1000,0.05,10,6,"EWMA",0.0480812301420059,0.190621308530088,44.4859218494983
1000,0.05,10,6,"LI",0.0874603168725312,0.211272372935988,47.8761360946324
1000,0.05,10,6,"KAF",0.34322730165682,0.374032477258244,70.8313720201948
1000,0.05,10,6,"RMEA",0.0318793151988351,0.149672270693758,36.5642596834371
1000,0.05,10,6,"NNI",0.0815975080093295,0.188447892656933,43.1656153918922
