"N","P","G","Iteration","Method","MAE","RMSE","MAPE"
1000,0.2,20,3,"LI",0.0494964226269853,0.229393780309475,61.8295881479307
1000,0.2,20,3,"NNI",0.0880018685452536,0.231299084530511,66.0976058565835
1000,0.2,20,4,"HWI",0.0106072421496651,0.180301186871593,62.7130309177304
1000,0.2,20,4,"EWMA",0.114345404506349,0.233963252480603,57.1074316358402
1000,0.2,20,4,"LI",0.13134560336445,0.24338609712373,57.6555981149465
1000,0.2,20,4,"NNI",0.0862617592312798,0.211056064848771,55.7468233130986
1000,0.2,20,5,"HWI",0.0138471946100344,0.16915848436185,32.8929483599499
1000,0.2,20,5,"EWMA",0.0398100014208159,0.21356922718219,39.332883648461
1000,0.2,20,5,"LI",0.0361442705800147,0.214122208210207,40.7885248559854
1000,0.2,20,5,"NNI",0.0283142381525069,0.211820209132254,36.7587207592456
1000,0.2,30,1,"HWI",0.00463761014048958,0.165284550397109,39.4829511212244
1000,0.2,30,1,"EWMA",0.0398088337602365,0.187364184752235,40.8839879927278
1000,0.2,30,1,"LI",0.0427147752514258,0.182533378438928,39.8685937852387
1000,0.2,30,1,"NNI",0.240695593617859,0.299411134190144,87.4149812051025
1000,0.2,30,2,"HWI",0.0047983217648988,0.13675357612414,28.3395397922895
1000,0.2,30,2,"EWMA",0.0560299421947717,0.16880571022326,36.2917566061579
1000,0.2,30,2,"LI",0.0938505973786815,0.194681988460619,42.5102542172196
1000,0.2,30,2,"NNI",0.105957876571247,0.201339492391354,44.1310605129787
1000,0.2,30,3,"HWI",0.0151118201914213,0.155603661479531,24.831914247318
1000,0.2,30,3,"EWMA",0.0962767318433805,0.194251349861365,27.4637444367635
1000,0.2,30,3,"LI",0.124075573732341,0.229661362280937,32.70097381037
1000,0.2,30,3,"NNI",0.034253431664768,0.209007822067359,32.5774996424356
1000,0.2,30,4,"HWI",0.0132894067977047,0.165893963315308,35.72880511142
1000,0.2,30,4,"EWMA",0.0566322474686188,0.195706034985028,43.0887684587644
1000,0.2,30,4,"LI",0.0882270248988255,0.214516003610254,48.6985611444488
1000,0.2,30,4,"NNI",0.139663634011407,0.24348684748516,55.9900475784248
1000,0.2,30,5,"HWI",0.0213074183787366,0.168032360867422,36.86391684581
1000,0.2,30,5,"EWMA",0.0161336068189557,0.175557952342026,35.8132756101546
1000,0.2,30,5,"LI",0.0195924800039447,0.189710502517306,38.5781806379282
1000,0.2,30,5,"NNI",0.00202194945026517,0.161088755515973,34.9381640713625
1000,0.3,10,1,"HWI",0.000843228365593217,0.162923274114461,38.7695510908587
1000,0.3,10,1,"EWMA",0.00718714063657841,0.199855599405455,47.0882578764175
1000,0.3,10,1,"LI",0.00641864515027575,0.195078731712477,46.1194077591234
1000,0.3,10,1,"NNI",0.00902953512840345,0.193208517177611,46.4374340871465
1000,0.3,10,2,"HWI",0.00232123353476052,0.156425870654746,43.7854687131121
1000,0.3,10,2,"EWMA",0.00559739361550492,0.186490985031263,49.5193697232157
1000,0.3,10,2,"LI",0.000439221716205778,0.197364841895028,51.7637156213236
1000,0.3,10,2,"NNI",0.0128000093059964,0.165599613588693,46.4849528542965
1000,0.3,10,3,"HWI",0.00903536342727886,0.131603693205243,16.7971285196805
1000,0.3,10,3,"EWMA",0.000418303455806444,0.152639577306606,19.5328926471731
1000,0.3,10,3,"LI",0.00762314735398151,0.166052816414614,21.3693986094351
1000,0.3,10,3,"NNI",0.0334236471402691,0.16717729233467,20.2637149103105
1000,0.3,10,4,"HWI",0.00319709728782034,0.180454522733935,34.4255120177915
1000,0.3,10,4,"EWMA",0.0257666590379247,0.204106330723477,34.885085935132
1000,0.3,10,4,"LI",0.0413487036753117,0.211431696707918,35.1390808776834
