"N","P","G","Iteration","Method","max_iter","K","n_series","random","method","Modulus","Argument","MAE","RMSE","MAPE"
1000,0.1,10,2,"NNI",25,5,20,"TRUE","noise",0.05,0.523598775598299,0.0597853312469358,0.206502417431459,52.084953754498
1000,0.1,10,2,"NNI",25,5,60,"TRUE","noise",0.05,0.523598775598299,0.068283073823833,0.183288236480519,42.7107876602557
1000,0.1,10,2,"NNI",25,5,100,"TRUE","noise",0.05,0.523598775598299,0.055266264783525,0.169456739759496,46.326843793595
1000,0.1,10,2,"NNI",25,10,10,"TRUE","noise",0.05,0.523598775598299,0.0420861184112067,0.167957614030615,45.1650572140692
1000,0.1,10,2,"NNI",25,10,30,"TRUE","noise",0.05,0.523598775598299,0.0867258113875325,0.20052292637189,45.169387594795
1000,0.1,10,2,"NNI",25,10,50,"TRUE","noise",0.05,0.523598775598299,0.0802364415391619,0.194854355045895,44.8951229834258
1000,0.1,10,2,"NNI",10,5,20,"FALSE","noise",0.05,0.523598775598299,0.0132080900200372,0.166686826815836,62.634348275981
1000,0.1,10,2,"NNI",10,5,60,"FALSE","noise",0.05,0.523598775598299,0.016307516617394,0.164394094412805,62.8263860433538
1000,0.1,10,2,"NNI",10,5,100,"FALSE","noise",0.05,0.523598775598299,0.000355455545402076,0.169429175843449,57.0409483352014
1000,0.1,10,2,"NNI",10,10,10,"FALSE","noise",0.05,0.523598775598299,0.0250786479838853,0.163519135109401,64.2211237618632
1000,0.1,10,2,"NNI",10,10,30,"FALSE","noise",0.05,0.523598775598299,0.0223669370242124,0.16035017243113,63.8287962675203
1000,0.1,10,2,"NNI",10,10,50,"FALSE","noise",0.05,0.523598775598299,0.0111295277603631,0.162218771514961,64.4077642682058
1000,0.1,10,2,"NNI",25,5,20,"FALSE","noise",0.05,0.523598775598299,0.0225122887381082,0.16225858958326,63.7689170027406
1000,0.1,10,2,"NNI",25,5,60,"FALSE","noise",0.05,0.523598775598299,0.0104705058046346,0.159561851761532,59.5537145428208
1000,0.1,10,2,"NNI",25,5,100,"FALSE","noise",0.05,0.523598775598299,0.0132924887827868,0.159180274470052,52.7592257885101
1000,0.1,10,2,"NNI",25,10,10,"FALSE","noise",0.05,0.523598775598299,0.0192913373359208,0.16207413334141,64.0099901066855
1000,0.1,10,2,"NNI",25,10,30,"FALSE","noise",0.05,0.523598775598299,0.0255015627988344,0.162367851446535,63.1816114438855
1000,0.1,10,2,"NNI",25,10,50,"FALSE","noise",0.05,0.523598775598299,0.00763668161115696,0.159832019286653,60.422861755673
1000,0.1,10,2,"NNI",10,5,20,"TRUE","all",0.05,0.523598775598299,0.0363728930971856,0.205039034073501,51.0362849123088
1000,0.1,10,2,"NNI",10,5,60,"TRUE","all",0.05,0.523598775598299,0.025019321026587,0.19760920399551,52.7287246223664
1000,0.1,10,2,"NNI",10,5,100,"TRUE","all",0.05,0.523598775598299,0.039542226614737,0.206839472867541,51.4036285720678
1000,0.1,10,2,"NNI",10,10,10,"TRUE","all",0.05,0.523598775598299,0.0220793985299105,0.204683376455525,61.0417341221706
1000,0.1,10,2,"NNI",10,10,30,"TRUE","all",0.05,0.523598775598299,0.0390596990905041,0.203689399970264,53.1289203748393
1000,0.1,10,2,"NNI",10,10,50,"TRUE","all",0.05,0.523598775598299,0.0516969688705439,0.219776251997851,51.9850308389991
1000,0.1,10,2,"NNI",25,5,20,"TRUE","all",0.05,0.523598775598299,0.100229665126585,0.223573456257026,58.8431951977148
1000,0.1,10,2,"NNI",25,5,60,"TRUE","all",0.05,0.523598775598299,0.127509301439607,0.259944763404956,53.2765495253729
1000,0.1,10,2,"NNI",25,5,100,"TRUE","all",0.05,0.523598775598299,0.125953701376849,0.274331699784943,54.8012999958907
1000,0.1,10,2,"NNI",25,10,10,"TRUE","all",0.05,0.523598775598299,0.0831369696251387,0.231225264996664,54.7014789048975
1000,0.1,10,2,"NNI",25,10,30,"TRUE","all",0.05,0.523598775598299,0.0930717487327094,0.258459722152431,54.2027165596846
1000,0.1,10,2,"NNI",25,10,50,"TRUE","all",0.05,0.523598775598299,0.0878383576362664,0.215170521152171,49.8052708432082
1000,0.1,10,2,"NNI",10,5,20,"FALSE","all",0.05,0.523598775598299,0.0185589344032769,0.166606580284592,63.3163224586916
1000,0.1,10,2,"NNI",10,5,60,"FALSE","all",0.05,0.523598775598299,0.00560595229051163,0.175980295169493,65.1985960148496
1000,0.1,10,2,"NNI",10,5,100,"FALSE","all",0.05,0.523598775598299,0.00398632404425094,0.181671772211069,59.9683495448884
1000,0.1,10,2,"NNI",10,10,10,"FALSE","all",0.05,0.523598775598299,0.0179818732567792,0.167260614581348,65.42900213189
1000,0.1,10,2,"NNI",10,10,30,"FALSE","all",0.05,0.523598775598299,0.0250800793894296,0.162414618113979,63.3865689867744
1000,0.1,10,2,"NNI",10,10,50,"FALSE","all",0.05,0.523598775598299,0.00981685637154529,0.176156601434228,67.0154310648492
1000,0.1,10,2,"NNI",25,5,20,"FALSE","all",0.05,0.523598775598299,0.0203867234953408,0.162548696855849,64.5933770805818
